epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5385.24,1.04206,0.49198,1.07905,0.98322,0.96013,0.98041,0.69039,1.09556,0.38725,1.05159,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5545.73,1.03477,0.48695,1.07678,0.98692,0.95541,0.98095,0.68865,1.09802,0.38651,1.05305,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5706.54,1.0311,0.48537,1.07506,0.98455,0.95658,0.98018,0.68861,1.10054,0.38743,1.05299,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5866.89,1.03193,0.48555,1.07212,0.98237,0.95872,0.98055,0.68963,1.10046,0.38459,1.05184,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6027.42,1.02516,0.48069,1.07025,0.98505,0.95814,0.98088,0.68961,1.09781,0.38355,1.0512,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6187.72,1.02679,0.48311,1.07138,0.98179,0.96104,0.98471,0.69197,1.09707,0.38098,1.05094,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6347.95,1.02127,0.47978,1.06539,0.97841,0.96435,0.98122,0.69046,1.09556,0.37905,1.05105,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6508.44,1.01774,0.47539,1.06246,0.9788,0.96435,0.98607,0.6911,1.09528,0.37885,1.05101,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6668.56,1.0173,0.47598,1.06665,0.9846,0.95963,0.98439,0.69143,1.09591,0.37724,1.05043,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6829.1,1.0118,0.47399,1.06452,0.9846,0.9596,0.98639,0.69212,1.09432,0.37655,1.05031,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6992.66,1.00742,0.46744,1.05991,0.98272,0.9605,0.98127,0.6913,1.09373,0.37384,1.04975,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7155.18,1.00395,0.46725,1.06023,0.98041,0.96228,0.98072,0.69149,1.09439,0.37315,1.04962,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7315.88,1.0033,0.46153,1.05738,0.98034,0.96154,0.98042,0.69102,1.0934,0.37265,1.04912,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7476.35,0.99841,0.45998,1.05944,0.97945,0.96107,0.98063,0.69111,1.09173,0.37109,1.04836,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7636.46,0.99646,0.46004,1.05758,0.98112,0.96107,0.98073,0.69293,1.09036,0.3704,1.04763,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7797.38,0.99518,0.45465,1.05361,0.98179,0.96154,0.98085,0.69232,1.09039,0.36993,1.04726,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7957.76,0.99665,0.45298,1.05616,0.98107,0.96201,0.98072,0.69214,1.08987,0.36926,1.04662,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8120.35,0.99526,0.45293,1.05283,0.98197,0.96154,0.98079,0.69176,1.08914,0.36855,1.04655,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8282.83,0.98902,0.45423,1.0553,0.98087,0.96216,0.98085,0.69419,1.08897,0.36784,1.04674,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8444.84,0.98467,0.44963,1.04729,0.98135,0.96273,0.98081,0.69418,1.08903,0.36771,1.04675,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8606.01,0.97743,0.44267,1.04625,0.98229,0.96278,0.98096,0.69357,1.08898,0.36726,1.04655,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8766.87,0.976,0.44414,1.04648,0.98227,0.96125,0.98092,0.6944,1.08907,0.36666,1.04642,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8928.34,0.97586,0.44049,1.04623,0.98226,0.96113,0.98086,0.69472,1.08862,0.36627,1.04613,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9089.5,0.96957,0.43716,1.04285,0.98226,0.96084,0.98087,0.69415,1.08785,0.36582,1.04563,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,9250.04,0.96844,0.43481,1.04335,0.98271,0.95982,0.98084,0.69415,1.08725,0.3648,1.04539,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,9410.76,0.96698,0.43684,1.04162,0.98321,0.95966,0.98075,0.69561,1.08723,0.36542,1.04516,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,9573.82,0.96602,0.43392,1.04149,0.98271,0.95995,0.98079,0.69459,1.08725,0.36481,1.04499,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,9736.63,0.96343,0.43054,1.04148,0.9827,0.95926,0.98081,0.69342,1.08733,0.36485,1.04494,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,9897.87,0.95963,0.42736,1.03877,0.98225,0.96052,0.98081,0.6938,1.08725,0.36509,1.04481,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10058.5,0.96198,0.4328,1.03564,0.9816,0.96107,0.98086,0.6945,1.08677,0.36451,1.04452,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,10219.3,0.94576,0.42294,1.03253,0.98085,0.96111,0.98096,0.6941,1.08692,0.36429,1.04449,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,10380,0.94996,0.42292,1.03418,0.98124,0.96013,0.98088,0.69455,1.08658,0.36377,1.04447,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,10540.3,0.94542,0.42113,1.0343,0.98011,0.96107,0.98091,0.69579,1.08641,0.36312,1.04442,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,10701.8,0.94578,0.42194,1.02981,0.97995,0.96266,0.98092,0.69559,1.08625,0.36254,1.0444,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,10861.8,0.94755,0.42054,1.03171,0.97996,0.96351,0.98124,0.69585,1.08625,0.3621,1.04453,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,11022.8,0.94335,0.41849,1.02985,0.97996,0.96315,0.9812,0.69607,1.0857,0.36205,1.04445,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,11183.5,0.9368,0.41476,1.02853,0.97997,0.96201,0.9812,0.69645,1.08578,0.36177,1.04444,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,11344.4,0.93165,0.41073,1.02548,0.97551,0.96717,0.98113,0.69552,1.08566,0.36139,1.04459,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,11504.6,0.92811,0.41133,1.02411,0.97633,0.9674,0.98118,0.69618,1.08553,0.36147,1.04464,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,11665.3,0.92437,0.40873,1.02537,0.98626,0.95826,0.98129,0.69555,1.08525,0.36062,1.04472,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,11825.8,0.92577,0.40658,1.02378,0.98656,0.95826,0.98131,0.6953,1.085,0.36023,1.04459,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,11986,0.9227,0.40524,1.02193,0.97633,0.96731,0.98135,0.69522,1.08517,0.3597,1.0448,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,12146.9,0.91669,0.39837,1.01896,0.97665,0.96717,0.9814,0.69559,1.08498,0.35972,1.04488,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,12307.4,0.91391,0.40055,1.01901,0.97605,0.96764,0.98135,0.69545,1.08457,0.35946,1.0449,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,12467.8,0.91117,0.39843,1.01634,0.97701,0.96764,0.9813,0.69511,1.08436,0.35929,1.04504,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,12628.7,0.90451,0.39253,1.01265,0.97697,0.96764,0.98133,0.69623,1.0844,0.35897,1.04518,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,12788.9,0.90023,0.39307,1.01333,0.9769,0.96764,0.98132,0.69578,1.0846,0.35854,1.0453,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,12949.4,0.89768,0.39077,1.01171,0.97723,0.96635,0.98131,0.69563,1.08441,0.3584,1.04545,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,13112.2,0.89606,0.39266,1.01097,0.9781,0.96623,0.98134,0.69591,1.08473,0.35813,1.04563,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,13275.8,0.8895,0.38542,1.00922,0.97782,0.96623,0.98143,0.69502,1.08536,0.35788,1.0459,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,13437.4,0.89007,0.38343,1.00915,0.97863,0.96674,0.98151,0.69536,1.08562,0.35749,1.04615,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,13598.5,0.88492,0.38342,1.00591,0.97868,0.9667,0.98156,0.69572,1.08581,0.35724,1.04625,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,13759.9,0.88453,0.38042,1.0061,0.97682,0.96851,0.98156,0.69511,1.08607,0.35686,1.04637,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,13923.8,0.87768,0.37861,1.00432,0.97635,0.96815,0.98167,0.69466,1.08627,0.3565,1.04649,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,14085.9,0.87177,0.37586,0.99918,0.97656,0.96811,0.98166,0.69522,1.08667,0.35594,1.04679,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,14247.6,0.8721,0.3763,0.99905,0.9767,0.96811,0.98161,0.69541,1.0869,0.35563,1.04704,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,14408.9,0.86882,0.37182,0.99951,0.97681,0.96805,0.98161,0.69435,1.08715,0.35533,1.04719,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,14569.2,0.86827,0.37012,0.99821,0.97772,0.96717,0.98173,0.69522,1.08749,0.35518,1.04741,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,14729.5,0.85966,0.36842,0.99507,0.97814,0.96764,0.98197,0.69438,1.08751,0.35482,1.04756,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,14889.5,0.839,0.31205,0.99148,0.97818,0.96722,0.98203,0.69294,1.08784,0.35498,1.04778,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,15047.7,0.82988,0.30653,0.98952,0.97818,0.96744,0.98216,0.69306,1.08814,0.35476,1.04801,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,15205.9,0.82189,0.30501,0.98427,0.97865,0.96761,0.98223,0.6927,1.08846,0.35469,1.04807,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,15365.4,0.81591,0.30166,0.98525,0.97869,0.96764,0.98227,0.69315,1.08846,0.3543,1.04817,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,15524.3,0.81051,0.29928,0.97824,0.97894,0.96764,0.98228,0.69298,1.08829,0.35386,1.04821,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,15683.3,0.8058,0.29705,0.97837,0.97919,0.96764,0.98233,0.69329,1.08805,0.35379,1.04837,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,15842.6,0.7961,0.29425,0.97415,0.97912,0.96781,0.98229,0.69286,1.08837,0.35349,1.04862,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,16001.4,0.79314,0.29185,0.97394,0.97867,0.96839,0.98228,0.69295,1.08832,0.3532,1.04874,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,16161,0.78848,0.2891,0.97032,0.97867,0.96825,0.98232,0.69285,1.08853,0.3531,1.04897,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,16319.6,0.78659,0.28865,0.97006,0.97868,0.9689,0.98241,0.69285,1.08877,0.35283,1.04924,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
